year,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
1990,22181.807,0.124,27.471999999999998,,,,0.0,,100.0,803157.428,0.01,0.0,,0.235,501.311,8753.146,228.942,3860.972,9201.046,0.094,1.643,0.043,0.725,1.7269999999999999,34967.34,6.564,7415.58,1.392,2460.54,0.462,94383.40800000001,17717.161,2.1830000000000003,5327230976.0,43240000000000.0
1991,22429.377,1.1159999999999999,247.57,,,,0.0,,100.0,825586.805,0.01,0.0,,0.23600000000000002,514.3480000000001,8675.55,243.696,3938.426,9658.971,0.095,1.6019999999999999,0.045,0.727,1.784,35125.44,6.4879999999999995,7387.74,1.364,2447.93,0.452,94998.44099999999,17545.876,2.176,5414288896.0,43664000000000.0
1992,22195.105,-1.044,-234.27200000000002,,,,0.0,,100.0,847781.91,0.01,0.0,,0.23199999999999998,535.994,8454.431,213.813,3965.433,9141.709,0.09699999999999999,1.537,0.039,0.721,1.662,34985.53,6.362,7322.48,1.3319999999999999,2440.49,0.444,95643.59300000001,17393.16,2.136,5498919936.0,44776000000000.0
1993,22153.142999999996,-0.18899999999999997,-41.961999999999996,,,,0.0,,100.0,869935.053,0.01,0.0,,0.23,556.159,8564.447,209.93400000000003,4074.539,9173.792,0.1,1.534,0.038,0.73,1.6440000000000001,35079.63,6.285,7300.62,1.308,2428.77,0.435,96369.906,17265.647,2.121,5581598208.0,45446600000000.0
1994,22533.833,1.7180000000000002,380.69,,,,0.0,,100.0,892468.8859999999,0.01,0.0,,0.231,592.048,8612.935,212.475,4114.2029999999995,9209.503,0.105,1.521,0.038,0.726,1.626,35287.61,6.231,7274.33,1.285,2514.99,0.444,97641.655,17241.58,2.1,5663150080.0,46504900000000.0
1995,23007.425,2.102,473.592,,,,0.0,,100.0,915476.312,0.01,0.0,,0.231,626.341,8864.243,210.75,4221.0109999999995,9308.652,0.109,1.5430000000000001,0.037000000000000005,0.735,1.621,36012.63,6.269,7283.49,1.268,2570.66,0.44799999999999995,99620.58,17342.773,2.062,5744212992.0,48322200000000.0
1996,23522.979,2.241,515.554,,,,0.0,,100.0,938999.291,0.01,0.0,,0.22899999999999998,639.6569999999999,9078.904,214.524,4407.267,9621.271999999999,0.11,1.5590000000000002,0.037000000000000005,0.757,1.652,36025.05,6.185,7152.83,1.228,2577.46,0.442,102592.21800000001,17612.725,2.061,5824891904.0,49767500000000.0
1997,23915.328999999998,1.6680000000000001,392.35,,,,0.0,,100.0,962914.62,0.01,0.0,,0.231,658.773,9036.388,219.49099999999999,4428.613,9758.588,0.11199999999999999,1.53,0.037000000000000005,0.75,1.653,37342.5,6.324,7369.05,1.248,2587.71,0.43799999999999994,103650.06,17552.795,2.0180000000000002,5905046016.0,51352400000000.0
1998,23984.984,0.29100000000000004,69.655,,,,0.0,,100.0,986899.604,0.01,0.0,,0.23,655.742,8801.605,207.02599999999998,4498.527,9853.851,0.11,1.4709999999999999,0.035,0.752,1.646,36976.63,6.178,7274.29,1.215,2599.16,0.434,104270.79800000001,17422.621,2.0,5984794112.0,52130500000000.0
1999,23930.561,-0.22699999999999998,-54.422,,,,0.0,,100.0,1010830.166,0.01,0.0,,0.225,684.888,8737.591,199.468,4630.745,10072.168,0.113,1.4409999999999998,0.033,0.764,1.661,36810.09,6.07,7207.23,1.188,2572.36,0.424,106165.384,17506.793999999998,1.966,6064239104.0,54011500000000.0
