"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","1990",8.315,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1991",8.395,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1992",8.094,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1993",8.336,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1994",8.538,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1995",7.051,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1996",8.257,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1997",9.007,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1998",9.203,
"AUS","CROPYIELD","RICE","TONNE_HA","A","1999",8.275,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2000",9.283,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2001",8.278,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2002",9.319,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2003",8.379,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2004",6.647,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2005",9.833,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2006",8.15,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2007",8.501,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2008",8.461,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2009",10.39,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2010",9.544,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2011",8.91,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2012",10.275,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2013",10.939,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2014",9.91,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2015",10.306,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2016",9.821,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2017",10.386,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2018",12.176,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2019",11.498,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2020",11.354,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2021",11.468,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2022",11.581,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2023",11.697,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2024",11.815,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2025",11.933,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2026",12.052,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2027",12.173,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2028",12.295,
"AUS","CROPYIELD","RICE","TONNE_HA","A","2029",12.418,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1990",1.634,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1991",1.47,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1992",1.781,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1993",1.966,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1994",1.136,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1995",1.79,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.096,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1997",1.842,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1998",1.86,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.035,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2000",1.821,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.108,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2002",0.907,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2003",2,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.635,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.021,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2006",0.917,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.079,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.583,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.573,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.03,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.151,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.761,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.006,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.917,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.974,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.61,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.918,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",1.703,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.625,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2020",1.949,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2021",1.982,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2022",2.014,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2023",2.047,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2024",2.08,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2025",2.113,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2026",2.146,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2027",2.179,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2028",2.212,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2029",2.245,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1990",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1991",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1992",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1993",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1994",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1995",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1996",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1997",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1998",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","1999",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2000",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2001",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2002",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2003",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2004",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2005",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2006",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2007",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2008",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2009",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2010",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2011",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2012",0,
