Year,Seasonal_Drought,Seasonal_Max,Seasonal_temp,Jun mean Temp,Jul mean Temp,Aug mean Temp,Jun Max Temp,Jul MaxTemp,Aug MaxTemp,Jun Drought Severity,Jul Drought Severity,Aug Drought Severity,August Corn yield,August soybean yield ,Season_corn_yield,Season_soybean_Yield
1980,-0.4733333333333332,84.86666666666667,73.2,69.6,76.7,73.3,81.5,88.8,84.3,-1.15,-1.63,1.36,7.2684,2.4228,7.403,2.59105
1981,0.9199999999999999,81.7,71.03333333333333,70.2,73.3,69.6,82.0,83.0,80.1,0.3,0.88,1.58,8.4125,2.6919999999999997,8.4125,2.6919999999999997
1982,3.0733333333333337,80.2,69.53333333333333,64.5,74.1,70.0,75.7,84.8,80.1,2.44,3.29,3.49,8.2106,2.5574,8.076,2.45645
1983,3.5033333333333325,86.56666666666668,74.96666666666667,69.6,77.2,78.1,80.5,88.8,90.4,4.6,3.61,2.3,7.6722,2.5574,5.8551,2.3555
1984,3.5433333333333334,83.73333333333333,72.03333333333333,70.5,72.2,73.4,81.3,83.9,86.0,4.14,4.0,2.49,8.2106,2.5574,7.5376,2.11995
1985,-1.0633333333333332,80.8,69.03333333333333,66.5,72.7,67.9,78.6,84.9,78.9,-1.46,-1.75,0.02,7.7395,2.4901,8.4798,2.5574
1986,2.1566666666666667,81.83333333333333,71.23333333333333,71.4,75.3,67.0,82.3,85.5,77.7,1.87,2.24,2.36,9.0855,2.6919999999999997,9.0855,2.79295
1987,0.09666666666666668,84.06666666666666,73.06666666666668,73.0,76.3,69.9,85.0,87.2,80.0,-1.81,0.31,1.79,8.9509,2.7593,8.749,2.92755
1988,-3.9466666666666668,88.26666666666667,75.03333333333335,73.8,75.5,75.8,87.9,88.4,88.5,-3.39,-4.18,-4.27,5.3839999999999995,2.019,5.6532,2.0863
1989,-5.133333333333333,82.63333333333334,71.3,67.7,75.0,71.2,79.3,86.2,82.4,-5.26,-5.17,-4.97,7.403,2.4901,7.9414,2.6247
1990,3.27,81.46666666666665,71.43333333333334,70.3,72.3,71.7,80.6,82.0,81.8,2.58,3.59,3.64,8.6144,2.5574,8.4798,2.79295
1991,1.7966666666666666,83.56666666666668,72.73333333333333,73.0,73.6,71.6,83.4,84.7,82.6,2.51,1.68,1.2,7.5376,2.5574,7.8741,2.72565
1992,0.68,77.99999999999999,67.13333333333333,67.4,68.3,65.7,79.8,77.6,76.6,-1.8,2.06,1.78,8.8163,2.8266,9.8931,2.9612
1993,7.54,79.4,70.13333333333334,66.9,71.9,71.6,77.0,80.3,80.9,5.5,7.96,9.16,7.7395,2.3555,5.3839999999999995,2.0863
1994,2.6166666666666667,80.63333333333333,69.93333333333332,70.9,70.3,68.6,81.4,80.8,79.7,2.66,2.66,2.53,9.7585,2.9612,10.2296,3.39865
1995,-0.52,83.76666666666667,73.33333333333333,69.9,73.9,76.2,80.0,85.0,86.3,-0.37,-0.42,-0.77,9.0855,2.8939,8.2779,2.9612
1996,1.5566666666666666,80.43333333333334,70.0,69.5,70.5,70.0,79.6,81.2,80.5,1.67,1.51,1.49,8.6817,3.0285,9.2874,2.9612
1997,-0.39999999999999997,81.89999999999999,71.10000000000001,70.4,73.4,69.5,82.2,83.7,79.8,-0.13,-0.36,-0.71,9.422,3.2977,9.2874,3.0958
1998,2.6033333333333335,81.03333333333333,71.26666666666667,67.1,73.8,72.9,76.8,83.9,82.4,2.83,2.39,2.59,9.6239,3.1631,9.7585,3.2304
1999,1.946666666666667,82.2,71.89999999999999,68.9,76.8,70.0,78.7,87.3,80.6,2.8,3.1,-0.06,10.1623,3.2304,10.0277,2.99485
2000,0.5300000000000001,81.16666666666667,70.86666666666667,67.7,72.2,72.7,78.7,81.8,83.0,0.88,1.11,-0.4,10.4315,3.2977,9.6912,2.92755
2001,-0.43,82.60000000000001,71.96666666666665,68.3,75.1,72.5,78.9,85.4,83.5,-0.14,-0.37,-0.78,9.4893,2.8266,9.8258,2.9612
2002,0.09333333333333334,84.1,73.26666666666667,72.4,76.5,70.9,83.3,87.4,81.6,-0.59,0.06,0.81,9.8258,3.0285,10.9699,3.2304
2003,0.0633333333333334,82.93333333333334,71.49999999999999,67.3,73.1,74.1,78.4,84.0,86.4,0.55,0.77,-1.13,10.6334,3.0958,10.5661,2.18725
2004,1.5066666666666666,78.33333333333333,67.89999999999999,67.0,70.5,66.2,77.4,80.5,77.1,1.13,1.46,1.93,10.9026,2.8266,12.1813,3.2977
2005,-0.26333333333333336,84.10000000000001,72.93333333333334,72.6,74.7,71.5,83.4,86.0,82.9,-0.07,-0.21,-0.51,11.0372,2.9612,11.6429,3.53325
2006,-1.3233333333333335,83.63333333333333,72.66666666666667,70.0,75.9,72.1,81.8,87.3,81.8,-2.08,-2.39,0.5,11.6429,3.0285,11.1718,3.39865
2007,2.06,83.53333333333333,72.76666666666667,70.4,73.7,74.2,81.6,85.1,83.9,1.6,1.27,3.31,12.114,3.365,11.5083,3.4996
2008,5.933333333333334,81.7,70.76666666666667,69.3,73.1,69.9,80.1,83.6,81.4,6.03,6.45,5.32,11.5083,3.1631,11.5083,3.12945
2009,4.103333333333333,78.7,68.39999999999999,68.9,68.0,68.3,79.2,78.3,78.6,3.63,3.98,4.7,12.4505,3.4996,12.1813,3.4323
2010,6.213333333333334,83.33333333333333,73.26666666666667,70.8,74.6,74.4,81.1,84.1,84.8,5.43,6.69,6.52,12.0467,3.4323,11.1045,3.4323
