Year,Rice_year_yield
1980,7.9568132
1981,8.525157
1982,8.278051
1983,8.6981312
1984,8.7969736
1985,9.019369
1986,9.513581
1987,9.3282515
1988,8.6734206
1989,9.760687
1990,9.513581
1991,10.502005
1992,10.502005
1993,10.254899
1994,10.502005
1995,9.390028
1996,9.2541197
1997,10.1931225
1998,8.4633805
1999,8.9823031
2000,9.8101082
2001,10.0942801
2002,10.0572142
2003,9.513581
2004,10.625558
2005,9.1182114
2006,9.4641598
2007,10.131346
2008,10.2796096
2009,10.625558
2010,9.9089506
2011,10.3166755
2012,10.0695695
2013,10.4772944
2014,10.6008474
2015,10.9838617
2016,10.9220852
2017,10.3908073
2018,10.6502686
2019,10.4402285
