year,yield change,average temp change,Max temp change,drought change
1980,-17,3.2,3.233333333,-3.113333333
1981,15,-2.066666667,-3.166666667,1.393333333
1982,-5,-1.366666667,-1.5,2.153333333
1983,-33,3.766666667,6.366666667,0.43
1984,25,-3.033333333,-2.833333333,0.04
1985,14,-1,-2.933333333,-4.606666667
1986,9,3.366666667,1.033333333,3.22
1987,-5,1.2,2.233333333,-2.06
1988,-46,-0.266666667,4.2,-4.043333333
1989,34,-2.366666667,-5.633333333,-1.186666667
1990,8,-0.933333333,-1.166666667,8.403333333
1991,-9,1.766666667,2.1,-1.473333333
1992,30,-5.4,-5.566666667,-1.116666667
1993,-67,2.233333333,1.4,6.86
1994,72,0.266666667,1.233333333,-4.923333333
1995,-29,2.066666667,3.133333333,-3.136666667
1996,15,-2.4,-3.333333333,2.076666667
1997,0,2.233333333,1.466666667,-1.956666667
1998,7,-0.833333333,-0.866666667,3.003333333
1999,4,2.6,1.166666667,-0.656666667
2000,-5,-3.466666667,-1.033333333,-1.416666667
2001,2,2.133333333,1.433333333,-0.96
2002,17,2.3,1.5,0.523333333
2003,-6,-3.966666667,-1.166666667,-0.03
2004,24,-1.833333333,-4.6,1.443333333
2005,-8,4.666666667,5.766666667,-1.77
2006,-7,-0.066666667,-0.466666667,-1.06
2007,5,-1.333333333,-0.1,3.383333333
2008,0,-0.766666667,-1.833333333,3.873333333
2009,10,-3.533333333,-3,-1.83
2010,-16,5.033333333,4.633333333,2.11
2011,7,1.866666667,0.033333333,-5.023333333
2012,-35,1.666666667,3.1,-4.446666667
2013,27,-5.7,-4.7,3.653333333
2014,14,-1.9,-1.866666667,2.16
2015,14,1.866666667,0.233333333,0.606666667
2016,11,1.733333333,2.966666667,0.346666667
2017,-1,0.633333333,-0.366666667,-1.276666667
2018,-6,-0.4,0.333333333,-0.32
2019,2,0.066666667,-1.466666667,2.833333333
2020,-7,1.333333333,3,-2.736666667
